key,name,annotation
Emma,"Susan Emma (""Aunt Emma"") Dennis (1821-1899)","Unmarried sister of Rebecca Dennis Wylie. Lived with the Wylie family in Bloomington from 1872 through 1876, then ran a boarding house in town with her sister, Elizabeth (Lizzie)"
Fannie,Fannie Thompson Wylie,
GovArthur,Arthur Calvin Mellette (1842 – 1896) ,"Born in Henry County, Indiana; graduated from Indiana University in 1863; served in Company H of the Ninth Indiana Volunteers during the Civil War. Returned to Indiana University following the war and took a law degree in 1866 and was admitted to the bar. Practiced law and owned a newspaper in Muncie, Indiana. Served as a member of the Indiana legislature from 1872 to 1874. Took his family to the Dakota Territory in 1878 hoping the dry climate there would improve his wife's deteriorating health. Practiced law and then became last governor of the Dakota Territory and first governor of the State of South Dakota. Left the governorship in January 1893; moved to Pittsburg, Kansas in 1895 and died there a year later."
HannahMccaw,Hannah McCaw ,Mother of Elizabeth Breckenridge
HenryAxtell,Henry Axtell,
Herman,Herman Boisen,"Hermann Balthasar Boisen (1846 – 1884) Immigrated to US in April 1869 and invited to chair the Modern Language Department at Indiana University in 1870. Later taught at the Normal School in Terre Haute (later Indiana State University), Williams College in Massachusetts, in the public schools of Boston, Mass. and finally at Lawrenceville School in New Jersey, where he died of heart failure.
"
Jean,Jane (Jean) Thompson Wylie Axtell (1872 – 1958) ,"Daughter of Redick McKee Wylie, granddaughter of Andrew Wylie. Jean married Harry Axtell, a Bloomington attorney, in 1898"
JTRMellette,"Joshua Theodore Richard (""Dick"") Mellette  (1874-1929)",
KateEgbert,"Katherine (""Kate"") Egbert (1850 – aft 1920)","Niece of Rebecca Dennis Wylie, through her sister Caroline Matilda Dennis Egbert"
Laurence,"Laurence Seabrook (""Laurie"") Wylie (1887 – 1962)","Called Laurie by his family, he was the youngest son of Brown and Seabrook Wylie. He was raised by his grandparents and Aunt Louisa in Wylie House; attended but did not graduate from IU. "
Louisa,"Elizabeth Louisa (""Lou"") Wylie Boisen (1839-1930)","Eldest child of Theophilus and Rebecca Wylie. Married to Hermann B. Boisen in July 1873, and widowed in Jan 1884. Mother of two: Anton T. Boisen and Marie Louise Boisen Bradley"
MaggieMcCaw,Maggie McCaw,Younger sister of Elizabeth Breckenridge
Margaret,"Margaret (""Maggie"") Wylie Mellette (1843-1938)",Margaret Wylie Mellette (1843 – 1938) Daughter of Theophilus and Rebecca Wylie.  Married Arthur Calvin Mellette in 1866 and with him had four sons
Marie,Marie Boisen Bradley (1879-1965),"Daughter of Louisa Wylie and Hermann B. Boisen. Marie grew up in Wylie House, graduated from IU in 1900 and married Morton C. Bradley"
MarySnedden,Mary Caroline Speck Snedden (1851 – 1925),"Niece of Rebecca Dennis Wylie, through her sister Adelaide Dennis Speck. Married James Snedden and served as matron of the Kansas Mason Home in Wichita for many years."
Morton,Morton C. Bradley (1878 - 1954),Morton attended IU where he met his future wife Marie Boisen. He graduated in 1899 with a degree in mathematics. Worked for many years as controller for the Boston and Maine Railroad
RebaWylie,"Rebecca (""Reba"") Wylie (1884- aft. 1926)","The only daughter of Brown and Seabrook Wylie, Was also raised in Wylie house by her grandparents and Aunt Louisa."
Rebecca,Rebecca Dennis Wylie (1812 – 1913),"Born in West Chester, Pennsylvania, Rebecca married Theophilus A. Wylie in 1838 "
RuvinaWilliams,Ruvina Williams ,Grandmother (potentially) of Elizabeth Breckenridge
SamWylie,"Samuel (""Sam"") Brown Wylie IV","The second son of Brown and Seabrook Wylie, was raised by his grandparents and his aunt Louisa Wylie Boisen. A talented artist, he moved to Boston and then New York where he became a commercial artist"
SarahSeabrook,"Sarah Seabrook (""Sede"") Mitchell Wylie (1857-1899)","Married Brown Wylie in 1876 and with him had six children, four of whom survived. Soon after being widowed, she left her younger three at Wylie House where they were raised by their Aunt Louisa Boisen and their Grandmother Wylie"
TAWylie,Theophilus Adam Wylie (1810 – 1895),"Born and educated in Philadelphia. Graduated from the University of Pennsylvania in 1830, studied theology in the Seminary of the Reformed Presbyterian Church, and was licensed to preach in 1836. He later received the honorary D. D. from Miami University in Ohio; Monmouth College in Illinois; and Princeton College in New Jersey. An honorary L.L.D. was bestowed upon him by the University of Pennsylvania. Came to Bloomington in 1837 to teach natural philosophy and chemistry at Indiana College (which became Indiana University in 1838). Was an active faculty member until 1886 except for 2 ½ years in the early 1850s which he spent at Miami University in Ohio; then professor emeritus until his death. Served as IU's librarian for 38 years"
Theo,"Theophilus (""Theo"") A. Wylie (1878 - 1960) ","Called Theo by his family, he was the eldest son of Brown and Seabrook Wylie. Went with his mother to Boston after his father's death in 1890 and eventually became a commercial photo engraver"
Theodorus,"Theodorus (""Dory"") William Wylie (1857-1934)",Theodorus William John Wylie (1857 – 1934) Youngest son of Theophilus and Rebecca Dennis Wylie; called Dory or Dode by his family. Graduated from IU in 1877; married Fannie Thompson in 1882; widowed in 1895; no children
Toph,"Theophilus (""Toph"", or ""Phandy"") Wylie (1851-1878)",Son of Theophilus and Rebecca Wylie
